gene	candidate_category	validation_priority	mean_MM_sample_log_norm	mean_control_sample_log_norm	MM_minus_control_sample_log_norm	cohen_d_sample_level	mannwhitney_p_sample_level	MM_samples_above_control_median	mean_MM_pct_detected	mean_control_pct_detected	best_spatial_region_signature	best_region_high_minus_low_mean_log	region_positive_samples	region_samples_tested	candidate_score
TMED9	region_linked_plasma_secretory	high	0.4360166800818605	0.1017350093914981	0.3342816706903624	1.482526309092183	0.023809523809523808	6	0.1973186637295312	0.043375747486389025	plasma_secretory	0.4680972469217437	9	9	0.7361370006553829
FTL	region_linked_plasma_secretory	high	0.5305827419771192	0.12857632492448465	0.4020064170526345	2.234873058265087	0.09523809523809523	5	0.22605018751037084	0.053455026639813365	plasma_secretory	0.4616457851529159	9	9	0.7344887313617607
HCLS1	region_linked_plasma_secretory	high	0.5091107423544367	0.14330008222989818	0.36581066012453844	1.1928609270482697	0.023809523809523808	6	0.22446683169607415	0.05924516001350422	plasma_secretory	0.4441728218536601	8	9	0.73374140735584
CFLAR	region_linked_plasma_secretory	high	0.6149370805856078	0.249199863732165	0.36573721685344285	1.4401916114116164	0.09523809523809523	5	0.2608942256157818	0.10221966107482831	plasma_secretory	0.6008656835963655	9	9	0.7318701995933987
SEL1L	region_linked_plasma_secretory	high	0.40436282375404864	0.07801589656973636	0.3263469271843123	2.2456344943562696	0.023809523809523808	6	0.17951631451997654	0.03390493486536513	plasma_secretory	0.4871728585618901	9	9	0.7280014388753742
PSAP	region_linked_plasma_secretory	high	0.5539473454217562	0.18218223623394547	0.3717651091878107	1.7178667007800559	0.09523809523809523	5	0.23465680802465472	0.07033376407175872	plasma_secretory	0.564500167462518	9	9	0.7270332194763138
PECAM1	endothelial_angiogenic	high	0.3538978713230425	0.1095475758870151	0.24435029543602743	1.5716407495881095	0.023809523809523808	6	0.17355420873573543	0.04616468177743626	endothelial_angiogenic	0.9691923816008605	9	9	0.7217591103218172
PSME1	region_linked_plasma_secretory	high	0.43045730674861993	0.08605597110249007	0.34440133564612985	2.378865973959795	0.023809523809523808	6	0.20226016093712126	0.039694292133785024	plasma_secretory	0.3950184461143064	9	9	0.7206693241391336
EEF1B2	region_linked_plasma_secretory	high	0.43863493509194984	0.09301763441162364	0.3456173006803262	1.522724752329737	0.023809523809523808	6	0.20725949971554267	0.04240678005564674	plasma_secretory	0.3890470929501437	9	9	0.7201180601749243
EID1	region_linked_plasma_secretory	high	0.5094066028641888	0.17266557553441209	0.33674102732977673	2.153583336666054	0.023809523809523808	6	0.22742621216487555	0.07377035821138773	plasma_secretory	0.4250066969623934	9	9	0.7197873286303922
IL2RG	region_linked_plasma_secretory	high	0.38366766122001655	0.044622123338432594	0.339045537881584	1.9518944707309258	0.023809523809523808	6	0.17246321664988887	0.01909490603305433	plasma_secretory	0.39790459895802643	9	9	0.710929974991296
REXO2	region_linked_plasma_secretory	high	0.5067075166724092	0.17495455007778138	0.33175296659462783	2.6263653252697674	0.023809523809523808	6	0.2295076105075631	0.07377928342200331	plasma_secretory	0.4207656220169006	9	9	0.7070148149096527
SSR2	region_linked_plasma_secretory	high	0.4196118501033417	0.06115915756632795	0.35845269253701373	2.0224136328214577	0.023809523809523808	6	0.18985890993149313	0.028051936964729893	plasma_secretory	0.4187444772464274	8	9	0.7063233026263888
SDC1	canonical_plasma_support	supporting_marker	0.35977168587696734	0.05774221954117511	0.30202946633579225	2.15737502580499	0.023809523809523808	6	0.1704808984262244	0.026839660531554486	plasma_secretory	0.5523050447687416	9	9	0.7032627963927918
ACTB	region_linked_plasma_secretory	high	0.5678748642112731	0.19000792498891625	0.3778669392223568	1.3000236793115019	0.09523809523809523	5	0.23683916462231602	0.07727214519377414	plasma_secretory	0.48872086934463355	9	9	0.7031729978196285
HERPUD1	region_linked_plasma_secretory	high	0.42675481501569196	0.11172968700091353	0.31502512801477844	1.5065594130281856	0.047619047619047616	6	0.18512327467822834	0.04700714404901879	plasma_secretory	0.48780814159276203	9	9	0.7030454254000342
MANF	region_linked_plasma_secretory	high	0.36939317170565694	0.05606730482561062	0.3133258668800463	1.3711585047223551	0.023809523809523808	6	0.16207361805026563	0.02453307566638338	plasma_secretory	0.4890137782158434	9	9	0.6998197992837183
BMP6	region_linked_plasma_secretory	high	0.4104094621434083	0.07795882668413587	0.33245063545927245	1.745903078258789	0.023809523809523808	6	0.19628553252501998	0.03426931629006157	plasma_secretory	0.39988795362361007	9	9	0.6980904596309245
SERP1	region_linked_plasma_secretory	high	0.44425839087530283	0.11915427633721853	0.3251041145380843	1.986217119987045	0.023809523809523808	6	0.2046004448554245	0.052238093575012495	plasma_secretory	0.43123442319172833	9	9	0.6979502997722589
LMAN2	region_linked_plasma_secretory	high	0.4139000685339835	0.07033030361780236	0.34356976491618113	1.2906506133342694	0.023809523809523808	6	0.18545759365477352	0.029070187080175555	plasma_secretory	0.4488945572776516	8	9	0.6913838367114127
CST3	region_linked_plasma_secretory	high	0.4936730150726256	0.1523901964075123	0.34128281866511334	2.077382746658468	0.023809523809523808	6	0.216524737418155	0.06361967737303886	plasma_secretory	0.34409509905325686	9	9	0.6880748459382904
IFI6	region_linked_plasma_secretory	high	0.4998835320502251	0.11348127108562983	0.3864022609645953	0.9740860117682757	0.023809523809523808	6	0.21770664263676376	0.04836338800994964	plasma_secretory	0.28055811251916773	8	9	0.6872368749638348
CREB3L2	region_linked_plasma_secretory	high	0.39320092191960937	0.06665870668887523	0.3265422152307341	1.0179763749242785	0.023809523809523808	6	0.18318905283693887	0.026529218423186927	plasma_secretory	0.4024470753864258	9	9	0.6869372621108217
PNRC1	region_linked_plasma_secretory	high	0.4104789611919463	0.0976479856339883	0.312830975557958	1.9943850095564235	0.047619047619047616	6	0.18489372726810982	0.04050105356290526	plasma_secretory	0.44483522216637034	9	9	0.6779838181062069
MYL6	region_linked_plasma_secretory	high	0.5091256466938328	0.16940918263369953	0.3397164640601332	1.5902229820484914	0.047619047619047616	6	0.22601712217951583	0.06972490948672272	plasma_secretory	0.3187292861607185	9	9	0.6719910752205943
