gene	variance	detected_spots
MTDH	0.8681164514092545	1551
STOM	0.8680184536107054	1650
IGHM	0.8676351401017698	1097
CTSZ	0.8671097495380637	1547
JUND	0.8594637463864678	1602
PRDX2	0.8489082006178699	1603
SLC25A39	0.8451389276227776	1625
PTK2B	0.8394427085512951	1629
CD38	0.8382216958650417	1458
REXO2	0.8334844146309195	1629
SAT1	0.8333725661525906	1512
SUMO2	0.8288827717234606	1736
CLPTM1L	0.8284439101523495	1501
CST3	0.8262910226343333	1501
CNN2	0.8166381584519607	1790
SQSTM1	0.8087944473070726	1600
FNDC3B	0.8038115710467542	1537
CORO1A	0.8028509160788925	1514
PPIB	0.7978479227674796	1459
TFRC	0.79480882896711	1436
ADAR	0.7945030793006795	1470
IKZF1	0.7943346394498353	1702
DDX5	0.7902391293411866	1452
DUSP22	0.7861851799635043	1515
CCNI	0.7790480979291248	1460
ZNF549	0.771186879587299	1161
SPCS1	0.7701341664052113	1330
S100A4	0.7691368705827463	1368
ALOX5	0.7681065165957591	1568
SEL1L	0.7637322438859555	1331
ST6GAL1	0.7637149875900237	1369
HCLS1	0.7636185001564242	1501
METTL7A	0.759984920452055	1395
CTSS	0.7531512993073002	1409
PDK1	0.7475873271546114	1420
CRELD2	0.7432054248469239	1320
HNRNPH3	0.7387099582980092	1588
ZFP36	0.738175882099696	1471
SSR4	0.7375117305715087	1178
HERPUD1	0.7302638588318926	1305
BAG1	0.7270803955316346	1536
HIPK2	0.7207345044149205	1334
MANF	0.7200502077098861	1218
GLCCI1	0.7178030123061604	1340
ERN1	0.7173648751364845	1400
SELENOF	0.7142695962214741	1556
HIST1H1B	0.7140692651108316	1349
NEK6	0.7134215887142865	1245
ARHGDIB	0.7092749205766125	1434
FCRL5	0.7085566587872044	1219
EDEM3	0.7077827013199229	1257
OGA	0.7075604795425131	1488
HSPB1	0.7062504878414533	1311
TMCO1	0.7051837104552816	1392
RBM33	0.7041878450646499	1534
CD79A	0.7020780085121169	1046
IFI6	0.6976907344334454	1356
FOXD4L5	0.697585819337144	1424
TXNDC11	0.6973333780940139	1274
LGALS1	0.6952116627437303	1243
BRD2	0.6946904847606701	1543
MAT2A	0.6906630498384961	1461
SLTM	0.6898262240760248	1465
HBS1L	0.6891097347042234	1563
PSME1	0.6890683586537371	1359
IFI16	0.6879168603682423	1341
PRDM1	0.6845225859482337	1310
STT3B	0.6840647288871755	1324
FXYD5	0.6832675505246995	1220
LMAN2	0.6801795431297688	1265
RACK1	0.6778274333322801	1385
CCND3	0.6771633779763715	1214
RGS2	0.6768330199930498	798
MYC	0.675907168205183	1518
EHBP1L1	0.6721713248166962	1389
CEBPD	0.670456345275884	1311
SLC4A1	0.6670376662516959	1168
TMED9	0.6669298935158718	1333
MBD2	0.6662037899733078	1334
SPP1	0.6631935790638316	900
RHOB	0.6622374783963824	1191
AHSP	0.6616170758216908	1162
APP	0.6606340078852839	1027
SLC25A37	0.660268712489836	1211
SERP1	0.6601608618193554	1376
HBM	0.6584983094436136	1105
OS9	0.6573463634301588	1356
KLF2	0.6568951526580158	1390
CLINT1	0.6567322789258261	1377
MDM4	0.6566130347415471	1406
ARGLU1	0.6562529959367256	1520
MAF	0.6545493343557516	1153
TRIB1	0.653216440441287	1168
SYNE2	0.6510753679613287	1417
TRAM1	0.6506555670106984	1209
SSR2	0.650098591098281	1259
FN1	0.6490144406618895	1038
CTSB	0.6489660624063127	1186
SELENOT	0.648818427375107	1211
JUN	0.648770537870548	1158
JUNB	0.6464771811073465	1255
SLC38A2	0.6460206866468265	1232
GUK1	0.6458499190957042	1322
CD63	0.6449908505420908	1240
ELL2	0.6438190240090756	1350
BRI3	0.6409930553518347	1399
C12orf57	0.6401612263057566	1389
GABARAP	0.6376476106897544	1399
HRNR	0.6366462974265596	1200
BLVRB	0.633839688221228	1205
EDEM1	0.6334561701856416	1266
LTF	0.6319984592804233	1070
FOSB	0.6312475254616234	1117
TAF11L8	0.6310333075203783	1221
PCMTD1	0.6289924223218726	1376
TIMP1	0.6261120007302196	913
HNRNPUL1	0.6254996873868341	1385
CYTIP	0.6251978396570844	1273
RAC2	0.622917837878825	1284
SLC38A10	0.6226978567106546	1281
CNTRL	0.6219880925119148	1476
LSP1	0.6218530319389223	1341
TCF3	0.6212485546507601	1331
TUT7	0.6167366491022819	1386
GSN	0.6156830904785632	1180
SEL1L3	0.6123165741475108	1173
WNK1	0.6114907870289225	1421
PECAM1	0.6081483939003614	1258
MARCKS	0.6064510828499966	1210
YBX3	0.6056399232079679	1291
NDUFA3	0.6050707064634662	1298
LAMTOR4	0.6041104653914308	1302
SRSF5	0.6004214813712587	1298
ZFP36L2	0.59965839450781	1393
HYOU1	0.5993369125712014	1080
ANP32E	0.5992541784774379	1298
BST2	0.5933657808978653	1205
FMNL1	0.5933037180604855	1193
DUSP1	0.5931894982199971	1008
ERGIC3	0.5921233026988963	1155
CDK5RAP3	0.5918021119810573	1356
YPEL3	0.5900603093063271	1248
WBP1	0.5885278687970732	1304
ANAPC16	0.5870137709414085	1272
TBC1D9B	0.5851013507440728	1243
BTF3L4	0.5847300659559979	1340
SYNGR2	0.5840639943180189	1063
