analysis_type	feature	score	n	n_feature_0	n_feature_1	effect	effect_label	statistic	p_value	fdr
ordinal_spearman	Serum_LDH	POU2AF1_z	633			-0.03227103939138467	spearman_rho	-0.03227103939138467	0.4176360503560701	0.5454838208732344
ordinal_spearman	Serum_LDH	XBP1_z	633			-0.008095562232079485	spearman_rho	-0.008095562232079485	0.8389154207514951	0.8898992308524146
ordinal_spearman	Serum_LDH	JCHAIN_z	633			0.054366347011950096	spearman_rho	0.054366347011950096	0.17189610295440177	0.26832562412394423
categorical_kruskal	RNA_Subtype_Name	plasma_secretory_score_z	707			92.18374146790529	kruskal_H; top_median=PR	92.18374146790529	6.2165679877398294e-15	1.0850736851327702e-13
categorical_kruskal	RNA_Subtype_Name	clinical_subtype_module_score_z	707			129.85762495100244	kruskal_H; top_median=PR	129.85762495100244	1.8602160584925268e-22	8.92903708076413e-21
categorical_kruskal	RNA_Subtype_Name	TXNDC5_z	707			54.15811672351674	kruskal_H; top_median=PR	54.15811672351674	1.10450007655113e-07	7.312552230959206e-07
categorical_kruskal	RNA_Subtype_Name	POU2AF1_z	707			107.14445168317752	kruskal_H; top_median=HRD, ++15, MYC	107.14445168317752	6.801060245581994e-18	1.4508928523908255e-16
categorical_kruskal	RNA_Subtype_Name	XBP1_z	707			91.57103016897327	kruskal_H; top_median=PR	91.57103016897327	8.200969476139927e-15	1.2112201072452815e-13
categorical_kruskal	RNA_Subtype_Name	JCHAIN_z	707			143.97176404078436	kruskal_H; top_median=CD1	143.97176404078436	2.5310650620686406e-25	2.429822459585895e-23
categorical_kruskal	CNA_Subtype_Name	plasma_secretory_score_z	680			33.37340176064754	kruskal_H; top_median=+1q, -13	33.37340176064754	2.255492663425e-05	0.00011704178145340541
categorical_kruskal	CNA_Subtype_Name	clinical_subtype_module_score_z	680			15.201638215102776	kruskal_H; top_median=HRD, ++15	15.201638215102776	0.033499831145160204	0.07567020682200894
categorical_kruskal	CNA_Subtype_Name	TXNDC5_z	680			13.067955050453747	kruskal_H; top_median=+1q, -13	13.067955050453747	0.07046988737835556	0.13530218376644268
categorical_kruskal	CNA_Subtype_Name	POU2AF1_z	680			27.492776958244576	kruskal_H; top_median=HRD, diploid 7	27.492776958244576	0.0002716232354053069	0.0012128293301818356
categorical_kruskal	CNA_Subtype_Name	XBP1_z	680			15.573429018161733	kruskal_H; top_median=HRD, diploid 3, 7	15.573429018161733	0.029312493178499124	0.0678072131358052
categorical_kruskal	CNA_Subtype_Name	JCHAIN_z	680			18.339387200187048	kruskal_H; top_median=Diploid	18.339387200187048	0.010529074074466557	0.02929829307677651
categorical_kruskal	RNA_Subtype_Name_ng2024	plasma_secretory_score_z	707			92.18374146790529	kruskal_H; top_median=PR	92.18374146790529	6.2165679877398294e-15	1.0850736851327702e-13
categorical_kruskal	RNA_Subtype_Name_ng2024	clinical_subtype_module_score_z	707			129.85762495100244	kruskal_H; top_median=PR	129.85762495100244	1.8602160584925268e-22	8.92903708076413e-21
categorical_kruskal	RNA_Subtype_Name_ng2024	TXNDC5_z	707			54.15811672351674	kruskal_H; top_median=PR	54.15811672351674	1.10450007655113e-07	7.312552230959206e-07
categorical_kruskal	RNA_Subtype_Name_ng2024	POU2AF1_z	707			107.14445168317752	kruskal_H; top_median=HRD, ++15, MYC	107.14445168317752	6.801060245581994e-18	1.4508928523908255e-16
categorical_kruskal	RNA_Subtype_Name_ng2024	XBP1_z	707			91.57103016897327	kruskal_H; top_median=PR	91.57103016897327	8.200969476139927e-15	1.2112201072452815e-13
categorical_kruskal	RNA_Subtype_Name_ng2024	JCHAIN_z	707			143.97176404078436	kruskal_H; top_median=CD1	143.97176404078436	2.5310650620686406e-25	2.429822459585895e-23
subtype_probability_spearman	MAF	plasma_secretory_score_z	707			-0.08305528606042262	spearman_rho	-0.08305528606042262	0.027223023631041756	0.06374171386780508
subtype_probability_spearman	MAF	clinical_subtype_module_score_z	707			-0.11810666643240615	spearman_rho	-0.11810666643240615	0.0016560276177707415	0.005781041865672407
subtype_probability_spearman	MAF	TXNDC5_z	707			-0.06697376169080345	spearman_rho	-0.06697376169080345	0.07513418224204688	0.14282508258777296
