file_id	file_name	data_category	data_type	data_format	experimental_strategy	access	case_projects
50548ffd-5ade-4f3a-af19-5d7437b6d883	af2805e9-ce64-42a1-ac65-e4df881a4006.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
5b0203d3-48d8-4328-bfcb-20f27f7d1ff6	6fa61e77-9ec1-4eb5-b0a4-3c1f8d4c6a27.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
3fd2fb26-c25c-4d3f-b644-2c503223176b	3870b78b-046c-42a3-92b0-cd60d4505e2b.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
0a125e30-5e6d-490d-9d99-8be32d1b70f6	ee5b9815-060f-4ded-a5ee-8d463c45ca86.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
cef4a194-7d25-4310-bbc6-fbefca06023e	7c94c2b2-b9fa-48c3-aa6a-953164597037_wgs_gdc_realn.cr.igv.reheader.seg.txt	Copy Number Variation	Copy Number Segment	TXT	WGS	open	MMRF-COMMPASS
c0620f99-ea21-4004-ad44-0c99a8b16e9d	bc48ebb2-6671-4406-924a-1fa00d16d08f_wgs_gdc_realn.cr.igv.reheader.seg.txt	Copy Number Variation	Copy Number Segment	TXT	WGS	open	MMRF-COMMPASS
402caaa0-a80c-4974-bebf-4a3e6ca67ca2	538131c5-e619-4621-965d-161506dd13ca.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
a4aec642-cf5f-4e54-95d7-a28c30dffa35	bf3734c4-afcd-45ba-a4ab-b312bf03a433_wgs_gdc_realn.cr.igv.reheader.seg.txt	Copy Number Variation	Copy Number Segment	TXT	WGS	open	MMRF-COMMPASS
e106495c-81bc-4e9f-b72e-6b48995d2eff	7e71d0dc-b204-4bbe-9aac-e74a8ac7053f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
edb10c12-c89b-482b-bb46-2df37b64dfd9	331c957d-3b59-47df-a3d7-ed960b6ef9b7_wgs_gdc_realn.cr.igv.reheader.seg.txt	Copy Number Variation	Copy Number Segment	TXT	WGS	open	MMRF-COMMPASS
ffd7bab4-ef50-437a-b736-046463379daa	e551567c-c174-4849-9a4e-1a310ed35c7c.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
